,Unnamed: 0,Name,Platform,Year,Genre,Publisher,DateSortie,Studio,Score,Rate,Review,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,GK_distributeur
131,165,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,2002-09-01,SquareSoft,8.5,7.8,148.0,3.64,1.2,1.49,0.07,6.4,Kingdom Hearts,
132,166,PokǸmon Crystal Version,GB,2000.0,Role-Playing,Nintendo,,Nintendo,6.0,8.0,46.0,2.55,1.56,1.29,0.99,6.39,PokǸmon ,
133,167,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,2009-09-01,Bungie Software,8.3,,807.0,4.34,1.35,0.06,0.61,6.36,Halo,
134,169,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,2010-05-01,Rockstar San Diego,9.5,9.35,2837.0,3.7,1.97,0.09,0.57,6.34,Red Dead Revolver,
135,171,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,2002-08-01,Nintendo,9.2,8.4,,4.01,1.26,0.87,0.17,6.31,Mario ,
136,172,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,,Capcom,,8.3,124.0,2.47,0.83,2.87,0.12,6.3,Street Fighter ,
137,173,World of Warcraft,PC,2004.0,Role-Playing,Activision,2005-02-01,Blizzard Entertainment,9.3,,1088.0,0.07,6.21,0.0,0.0,6.28,Warcraft,Vivendi Games
138,174,Driver,PS,1999.0,Action,GT Interactive,1999-06-01,Reflections Interactive,8.7,7.3,78.0,3.11,2.8,0.02,0.33,6.27,Driver,
139,175,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,2010-11-01,Rare Ltd.,7.3,6.2,13.0,3.92,1.78,0.03,0.51,6.24,Kinect Sports,
140,176,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,2011-09-01,Epic Games,9.1,7.8,264.0,4.05,1.62,0.07,0.49,6.24,Gears of War,
141,177,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,2006-11-01,Epic Games,9.4,8.75,996.0,3.54,1.9,0.07,0.6,6.11,Gears of War,
